"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
12011,"GUB","Guerrero Negro Airport","Guerrero Negro, Mexico","","",
12011,"GUB","Guerrero Negro Airport","Guerrero Negro, Mexico","","",
12012,"GUC","Gunnison-Crested Butte Regional","Gunnison, CO","CO","08",
12012,"GUC","Gunnison-Crested Butte Regional","Gunnison, CO","CO","08",
12012,"GUC","Gunnison-Crested Butte Regional","Gunnison, CO","CO","08",
12013,"GUD","Goundam Airport","Goundam, Mali","","",
12013,"GUD","Goundam Airport","Goundam, Mali","","",
12014,"GUH","Gunnedah Airport","Gunnedah, Australia","","",
12014,"GUH","Gunnedah Airport","Gunnedah, Australia","","",
12015,"GUI","Guiria New","Guiria, Venezuela","","",
12015,"GUI","Guiria Airport","Guiria, Venezuela","","",
12016,"GUM","Agana Field","Guam, Guam","","",
12016,"GUM","Guam International","Guam, TT","TT","75",
12017,"GUO","Gualaco Airport","Gualaco, Honduras","","",
12017,"GUO","Jicalapa","Gualaco, Honduras","","",
